	Dorea_formicigenerans	Clostridium_intestinale	Serratia_marcescens	Lysinibacillus_boronitolerans	Veillonella_parvula	Bifidobacterium_adolescentis	Ruminococcus_torques	Bacteroides_plebeius	Pyramidobacter_piscolens	Haemophilus_influenzae	Prevotella_nigrescens	Eggerthella_lenta	Lactobacillus_mucosae	Marinomonas_primoryensis	Sphingomonas_wittichii	Streptococcus_luteciae	Oxalobacter_formigenes	Alistipes_massiliensis	Actinomyces_europaeus	Ruminococcus_gnavus	Paracoccus_marcusii	Bacillus_flexus	Ruminococcus_flavefaciens	Acinetobacter_lwoffii	Alistipes_indistinctus	Atopobium_rimae	Pseudoxanthomonas_mexicana	Porphyromonas_endodontalis	Neisseria_cinerea	Mitsuokella_multacida	Acinetobacter_rhizosphaerae	Sphingomonas_echinoides	Mucispirillum_schaedleri	Variovorax_paradoxus	Pseudomonas_fragi	Acinetobacter_johnsonii	Collinsella_aerofaciens	Bacteroides_caccae	Staphylococcus_epidermidis	Propionibacterium_acnes	Thermomonas_fusca	Parabacteroides_distasonis	Burkholderia_bryophila	Aggregatibacter_segnis	Staphylococcus_aureus	Eubacterium_biforme	Campylobacter_ureolyticus	Roseburia_faecis	Blautia_producta	Methylibium_petroleiphilum	Akkermansia_muciniphila	Jonquetella_anthropi	Treponema_amylovorum	Blautia_obeum	Enterococcus_cecorum	Actinobacillus_porcinus	Tetragenococcus_halophilus	Vibrio_rumoiensis	Streptococcus_sobrinus	Collinsella_stercoris	Desulfovibrio_D168	Actinobacillus_parahaemolyticus	Roseomonas_mucosa	Rothia_dentocariosa	Pediococcus_acidilactici	Escherichia_coli	Helicobacter_pylori	Clostridium_hiranonis	Veillonella_dispar	Brevundimonas_diminuta	Staphylococcus_succinus	Clostridium_perfringens	Rothia_mucilaginosa	Coprococcus_catus	Caldinitratiruptor_microaerophilus	Haemophilus_parainfluenzae	Bacteroides_barnesiae	Selenomonas_noxia	Clostridium_butyricum	Deinococcus_geothermalis	Stenotrophomonas_acidaminiphila	Bifidobacterium_bifidum	Bacteroides_uniformis	Prevotella_copri	Paenibacillus_lautus	Methylobacterium_adhaesivum	Rhodococcus_fascians	Streptococcus_anginosus	Eubacterium_cylindroides	Staphylococcus_equorum	Methylotenera_mobilis	Corynebacterium_durum	Bacteroides_ovatus	Enterococcus_casseliflavus	Bacillus_cereus	Bacteroides_coprophilus	Bacillus_muralis	Lactobacillus_ruminis	Microbispora_rosea	Morganella_morganii	Rothia_aeria	Bifidobacterium_longum	Coprococcus_eutactus	[Eubacterium]_dolichum	Peptostreptococcus_anaerobius	Bacteroides_fragilis	Bifidobacterium_pseudolongum	Faecalibacterium_prausnitzii	Bacteroides_eggerthii	Bacillus_cohnii	Lactobacillus_zeae	Selenomonas_ruminantium	Frondihabitans_cladoniiphilus	Ruminococcus_bromii	Treponema_socranskii
s34_CD_remission	0.000258052	0	0	0	0	0.000467719	3.23E-05	0	0	0	0	0.021563473	0	0	0	0	0	0	0	0.055094108	0	0	0	0	0	1.61E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000177411	0	0	0	0	0	0	0.021482831	0	0.001128978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.23E-05	0	0	0	1.61E-05	0	0	0	0	0	0	0	0	0	0.000774156	0	0	0	0	8.06E-05	0	0	0	3.23E-05	0	0	0	0	0	0	0	0.000661258	0	0.021111882	0	0	0	3.23E-05	4.84E-05	0.000177411	0	0	0	0	0	1.61E-05	0
s35_CD_remission	9.39E-05	0	0	0	2.68E-05	0.00020118	0.000308476	0	0	0	0	0.020909335	0	0	0	0	0	0	0	0.036722103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.02E-05	1.34E-05	0	0	0	0	0	0	0	0	0.001247318	0	0.000107296	0	0	0	0	0	0	0	0	0	0	5.36E-05	0	0	0	0	0	0	4.02E-05	0	0	0	4.02E-05	0	0	0.000737661	0	0	0	0	0	0	0.000147532	0	0	0	0	1.34E-05	0	0	0	1.34E-05	0	0	0	0	0	0	0	8.05E-05	0	0.002440987	0	0	0	0.000523069	0	0.012271996	0	1.34E-05	0	0	0	4.02E-05	0
s36_CD_remission	0.000144418	0	0	0	0	0.008770087	0.000144418	0	0	0	0	0.007864195	0	0	0	1.31E-05	0	0	0	0.137012919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001601723	3.94E-05	7.88E-05	0	0	0.045517803	0	0	0	6.56E-05	0	0	0.001260372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31E-05	0	0	2.63E-05	0	0	1.31E-05	0	0	1.31E-05	0.00023632	0	0	0	0	0	0	0.000157546	0	0	0	0	0	0	0	0	0.000144418	0.000105031	0	0	0	0	0	0	1.31E-05	0	0.025443756	0	0	0	0	0	2.63E-05	0	0	0	0	0	2.63E-05	0
s37_CD_remission	0.000135223	0	0	0	0.000121701	0.026855257	0.000311013	0	0	0	0	0.000216357	0	0	0	0	0	0	0	0.002406967	0	0	0	1.35E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.022244158	0	0.000108178	0	0	0.005408914	0	0	0	0	0	0	0.000338057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.70E-05	0.000622025	1.35E-05	0	0	0.003515794	0	1.35E-05	0	0	0	5.41E-05	1.35E-05	0	0	0	0	0	1.35E-05	1.35E-05	0	0	0	0.000162267	2.70E-05	0	0	0	0	1.35E-05	0	0	0	0	0	0	9.47E-05	0	0.02953267	1.35E-05	0	0	0	0	0.00029749	0	0	8.11E-05	0	0	0	0
s38_CD_remission	2.04E-05	0	2.04E-05	0	0.00046847	0.049331921	8.15E-05	0	0	0	0	0.000101841	2.04E-05	0	0	0	0	0	0	0.000427733	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04E-05	0	0	0.015703927	0	2.04E-05	0	0	0.000529575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04E-05	0	0	0.002260877	0	0	0	0.010224866	6.11E-05	0	0.000570311	0	0	0	6.11E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.07E-05	6.11E-05	0	0.017720385	0	0	0	0	0.000183314	0	0	0	4.07E-05	0	0	0	0
s39_Healthy_Control	0.009912111	0	0	0	0	0.051885863	9.85E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.018208332	0	0	0	0	0	0	0	0	0	1.97E-05	0	0	0	0	0	0	0	3.94E-05	1.97E-05	0	0	5.91E-05	0	0	0	0	0	5.91E-05	0.000118236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.94E-05	3.94E-05	0	0	3.94E-05	0	0	0	0	0	1.97E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.85E-05	0	0.080853663	0	0	0	7.88E-05	0	0.049067907	0	0	0	0	0	1.97E-05	0
s40_Healthy_Control	0.006715576	0	0	0	5.64E-05	5.64E-05	0.001617758	0	0	0	0	0.001053424	0	0	0	7.52E-05	0	0	0	0.001297968	0	0	0	0	0	0	0	0	0	1.88E-05	0	0	0	0	0	0	0.000790068	0.000225734	0	0	0	0.04685854	0	0	0	0	0	0	7.52E-05	0	0	0	0	0	0	0	0	0	0	0.000319789	0	0	0	9.41E-05	0	0	0	0	1.88E-05	0	0	0.000263356	0	0	1.88E-05	0.001072235	0	0	0	0	0	0	0.0001693	0	0	0	1.88E-05	5.64E-05	0	0	0	0	0	0.000131678	0	0	0	0	1.88E-05	0	1.88E-05	0.000808879	1.88E-05	0	0	1.88E-05	0	0.002050414	0	1.88E-05	0	0	0	9.41E-05	0
s41_Healthy_Control	0.008159924	0	0	0	9.55E-05	0.005321689	0.000532169	0	0	0	0	0.000395715	0	0	0	0	0	0	1.36E-05	0.003629665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005048782	0	1.36E-05	0	0	0.028109436	0	0	0	2.73E-05	0	0.000354779	0.000491233	0	0	0	0	0	0	0	0	0	0	0	0	1.36E-05	0	0	0	0	0	0	0.000368425	0	0	0	1.36E-05	0	0	0.001159855	0	0	0	0	0	0.000109163	9.55E-05	0	0	0	0	0	0	0	0	1.36E-05	1.36E-05	0	0	0	0	0	0	0	0	0.001637443	0	0	0	0	8.19E-05	0.093457051	0	0	0	0	0	0	0
s42_Healthy_Control	0.011670702	0	0	0	0	0.003087167	0.000932203	0	0	0	0	0.000193705	0	0	0	0.000145278	0	0	2.42E-05	0.010060533	0	0	0	1.21E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.002227603	6.05E-05	1.21E-05	0	0	0.041997579	0	0	0	0	0	7.26E-05	0.000774818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.63E-05	0	0	0	0	0	0	0	0	0.000714286	0	0	0.011283293	0	0	0	0	0	2.42E-05	8.47E-05	0	0	0	0	0.000581114	0	0	0	2.42E-05	2.42E-05	0	0	0	0	0	2.42E-05	0	0	0.00374092	0	0	0	0	0	0.000108959	1.21E-05	0	0	0	0	0.000108959	0
s43_Healthy_Control	0.009435236	0	0	0	0.000286939	0.002430544	0.000151909	0	0	0	0	0.003223846	0	0	0	0	0	0	0	0.032120312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.38E-05	0	0	0	0.036356885	0	0	0	0	0	1.69E-05	0.004405361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69E-05	0	0	0	0	1.69E-05	0	0	0	1.69E-05	0	0	0.001620363	0	0	0	0	0	5.06E-05	0	0	0	0	0	5.06E-05	0	0	0	1.69E-05	0.00027006	0	0	0	0	0	1.69E-05	0	0	0.006363299	0	0	0	0	0	0	0	0	0	0	0	0	0
s44_Healthy_Control	0.006446446	0	0	0	1.33E-05	0.000133467	0.001948615	0	0	0	0	0	0	0	0	0	0	0	0	0.00952953	0	0	0	0	0	0	0	0	0	0.000453787	0	0	0	0	0	0	0.000920921	0.00012012	0	0	0	0.011651652	0	0	0	0	0	4.00E-05	0.000840841	0	6.67E-05	0	0	0	0	0	0	0	0	0	0	9.34E-05	0	0	0	0	0	0	5.34E-05	0	0	5.34E-05	0	0	0	0.002362362	0	0	0	0	0	2.67E-05	0.000106773	5.34E-05	0	0	0	0	0	0	0	1.33E-05	0	0	0	0	0	0	0	0	0	0.001961962	0	0	0	0	0	0.106760093	0	0	0	0	0	0.00028028	0
s45_Healthy_Control	0.006792946	0	0	0	0	9.14E-05	0.0017113	0	0	0	0	0	0	0	0	0	0	0	0	0.009157413	0	0	0	0	0	0	0	0	0	0.000509471	0	0	0	0	0	0	0.001018942	0.000431091	0	0	0	0.012357936	0	0	0	0	0	7.84E-05	0.000679295	0	2.61E-05	0	0	1.31E-05	0	0	0	0	0	0	0	6.53E-05	0	1.31E-05	0	0	0	0	5.23E-05	0	0	7.84E-05	0	0	0	0.002704115	0	0	0	0	0	0	3.92E-05	5.23E-05	0	0	0	0	0	0	0	1.31E-05	1.31E-05	0	0	0	0	0	0	0	0	0.00194644	0	0	0	0	0	0.101580666	0	0	0	0	0	0.000222077	0
s46_Healthy_Control	0.006258614	0	0	0	0	0.001216052	0.000989056	0	0	0	0	1.62E-05	0	0	0	0	0	0	0	0.0079773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011106607	0.000259424	0	0	0	0.009777057	0	0	0	4.86E-05	0	4.86E-05	0.000389137	0	4.86E-05	0	0	3.24E-05	0	0	0	0	0	0	0	0	0	1.62E-05	0	0	0	0	0	0	0	0	1.62E-05	0	0	0	0	0	0	0	0	0	0.000194568	0	0	0	0	1.62E-05	0	0	0	3.24E-05	1.62E-05	0	0	0.004475071	0	0	0	0	0	1.62E-05	0	0	0	0	4.86E-05	0.137932712	0	0	0	0	0	0	0
s47_Healthy_Control	0.003027988	0	0	0	1.41E-05	0.000183943	0.00026884	0	0	0	0	0.00107536	0	0	0	0	0	0	0	0.036576393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.83E-05	0	0	0	1.41E-05	0	0	0	0	0	0.000113196	0.000410335	0	0	0	0	4.24E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.83E-05	0	0	0	0	0	0	0.000382036	0	0	0	0	0	0.000155644	0.000226392	0	0	0	0	0	0	0	0	0	2.83E-05	0	0	0	0	0	0	0	2.83E-05	0	0	0	0	0.000155644	0	0.068058975	0	0	0	0	0	8.49E-05	0
